Id,Label,Interval,Size,Type,M_E1,M_E2,M_v1,M_v2,Std_E1,Std_E2,Std_v1,Std_v2
91,7-38, ,3.0,7,0.0010790903408317936,0.0010728331049351747,0.19872557244547617,0.1953856937092381,0.0001169321464492579,0.00012098675793667545,0.03362691386409207,0.032154632314296404
93,7-8, ,3.0,7,0.001790126516068846,0.0018163349461015382,0.2940161673738077,0.2866461567762116,0.00014982331113599465,0.00015855988697439485,0.01869724271491995,0.016265647379511902
95,7-2, ,3.0,7,0.0026948557195192943,0.002733115993784236,0.2892228196058235,0.2801550063058,0.00027486530898742555,0.0002919229552517459,0.02490953923825216,0.025056119329165495
96,7-43, ,3.0,7,0.0027014582743476404,0.0027618904705852807,0.26655604497350566,0.260439482542573,0.00020160288650894457,0.00022576909682345118,0.025906273346820184,0.02679910455538519
102,7-32, ,3.0,7,0.002302571403265341,0.0023110813875592048,0.2537714331203182,0.24755640935617046,0.00028065160315255945,0.00028521679389551343,0.03929366898483796,0.03885498920123161
103,7-23, ,3.0,7,0.0021331929633616855,0.0021493196222239323,0.2667921435664719,0.25919632942210113,0.00018982154695849083,0.0001954683608834896,0.03476723868303349,0.03170576473882654
104,7-30, ,3.0,7,0.0011469020298612927,0.0011485262849973415,0.021070830563825978,0.017062167021254633,0.00015735718072017106,0.00015497262880903158,0.04218437806744155,0.04223143889718451
107,7-51, ,3.0,7,0.0019211882938632583,0.00192684957616191,0.2752385637085393,0.27048923480574155,0.0002206640801474335,0.0002305920892694416,0.023562011512051433,0.023456236557465194
108,7-11, ,3.0,7,0.0015551612436689795,0.0015700617574606122,0.23219315761455103,0.2313941183417755,0.00023134473030854945,0.0002330532705659394,0.038530620768938866,0.039378984868748225
109,7-24, ,3.0,7,0.00143582350932825,0.0014362368948999844,0.20685232469631248,0.2041098788769219,0.0002524807290726228,0.00025745329703921234,0.046560840958300015,0.04631344807432619
110,7-9, ,3.0,7,0.0020746251700534614,0.002077840675165,0.004416628284666923,-0.0007674486129492305,0.0005727761446465692,0.0005868341258066095,0.05739871612837253,0.0585083578123708
119,7-7, ,3.0,7,0.001567993099100732,0.0015755453524841463,0.0940493777564978,0.08557591611014269,0.0001752101374339657,0.000180925254656278,0.043627192223766674,0.04225835675052868
127,7-4, ,3.0,7,0.0011789173544591938,0.0011832074380204926,0.18078638206697314,0.17871831549020747,0.000156768800506488,0.00017008856004807735,0.04918187964583308,0.04889403102339388
128,7-27, ,3.0,7,0.002676578154373215,0.0026831219238196433,-0.13007360395813,-0.1354743402654075,0.00034902825471574896,0.0003542175108588126,0.06755238856408613,0.06680221098946011
130,7-15, ,3.0,7,0.0011411835846943334,0.0010939757889484166,-0.0358859572062005,-0.03774215643121833,9.48713539927497e-05,0.00020660939250201175,0.0564316194234551,0.056046934442618705
133,7-18, ,3.0,7,0.0011711667611443513,0.0011633333928694322,0.2787696676589189,0.2755910363491352,0.0001866535195022977,0.00017637113116142513,0.021844080139009216,0.018121509620333404
135,7-13, ,3.0,7,0.001378712205665,0.0013834928044038888,-0.00806185946289389,-0.011111543996428334,0.0002472456467402702,0.0002484711488395837,0.042622114928951994,0.04272178385585797
136,7-53, ,3.0,7,0.001476099612818611,0.0014781784504958335,-0.10032299846013945,-0.10413633930602334,0.0001864512945693062,0.00018855460816403046,0.060344390298581366,0.05998332744096059
139,7-37, ,3.0,7,0.0017318941461013156,0.001741532586706842,-0.1458785481723395,-0.14978355026301843,0.0002461340384395905,0.000248404051575695,0.06983995423220597,0.06942350427592381
142,7-48, ,3.0,7,0.0012869500780107648,0.0012766949883311763,-0.24599201769688234,-0.24671758914099998,0.0002416512849517099,0.00023509921501216756,0.052222461023664284,0.05055980494911019
145,7-1, ,3.0,7,0.0014567967500608333,0.0014687667301222917,0.14628391897897292,0.14211225016645,0.00021282331404288434,0.0002220023146526712,0.06073561882892726,0.060156663196483676
146,7-45, ,3.0,7,0.0018613059940235527,0.0018538497278828949,0.2891631557261579,0.281575308478421,0.0001818762087376711,0.00017859657047052994,0.024238331068672236,0.022026418558322405
147,7-5, ,3.0,7,0.002317733789294157,0.002354552332127416,0.2944102858997978,0.28583192504598876,0.00020208146207149918,0.00021309448299384968,0.02255528728679676,0.020241825626666318
149,7-26, ,3.0,7,0.0016056864652528088,0.001620480100561573,0.2731776713420225,0.2691208815980674,0.00018401814099114783,0.00018933955864043972,0.023913957362971115,0.022562704240683767
152,7-34, ,3.0,7,0.0010930145354610293,0.001095563525863853,-0.1447330078901088,-0.14784056141112942,0.00018426734764873549,0.00018627324583600128,0.045848625423663615,0.0460025648222243
158,7-21, ,3.0,7,0.0014688535153854288,0.0014890448687305716,0.1919169100019714,0.18710115828082857,0.00018534854233540863,0.00018081733969579398,0.04208125392059404,0.039191553013407564
159,7-19, ,3.0,7,0.0015512322067340913,0.0015473012052470458,-0.25344372632945456,-0.2541681091768863,0.00026859476050914517,0.0002675756925406772,0.061581120305296264,0.061363951665787266
176,7-50, ,3.0,7,0.0011448117468770501,0.0008488572930347501,-0.049280025399884145,-0.0406691019576375,0.0001235601721895414,0.0005022827514700032,0.045145505694837794,0.04468423263484506
